date_post;open_price
15/12/2011;154.740005
16/12/2011;154.309998
19/12/2011;155.479996
20/12/2011;156.820007
21/12/2011;156.979996
22/12/2011;156.350006
23/12/2011;156.350006
27/12/2011;155.080002
28/12/2011;154.050003
29/12/2011;149.089996
30/12/2011;152.139999
03/01/2012;154.759995
04/01/2012;155.429993
05/01/2012;155.369995
06/01/2012;158.589996
09/01/2012;157.360001
10/01/2012;158.970001
11/01/2012;159.339996
12/01/2012;161.020004
13/01/2012;159.320007
17/01/2012;161.169998
18/01/2012;159.940002
19/01/2012;160.960007
20/01/2012;160.5
23/01/2012;162.320007
24/01/2012;161.809998
25/01/2012;161.070007
27/01/2012;167.440002
30/01/2012;168.190002
31/01/2012;169.770004
01/02/2012;169.75
02/02/2012;169.960007
03/02/2012;169.880005
06/02/2012;166.960007
07/02/2012;167.380005
08/02/2012;169.259995
09/02/2012;170.009995
10/02/2012;166.490005
13/02/2012;167.330002
14/02/2012;167.649994
15/02/2012;168.630005
16/02/2012;166.330002
17/02/2012;168.289993
21/02/2012;169.649994
22/02/2012;170.399994
23/02/2012;172.690002
24/02/2012;172.630005
27/02/2012;172.139999
28/02/2012;172.839996
29/02/2012;173.190002
01/03/2012;166.100006
02/03/2012;166.229996
05/03/2012;165.770004
06/03/2012;162.149994
07/03/2012;162.759995
08/03/2012;164.740005
09/03/2012;163.639999
12/03/2012;165.330002
13/03/2012;163.940002
14/03/2012;159.610001
15/03/2012;159.729996
16/03/2012;160.080002
19/03/2012;160.850006
20/03/2012;160.199997
21/03/2012;160.630005
22/03/2012;158.199997
23/03/2012;160.880005
26/03/2012;163.169998
27/03/2012;164.520004
28/03/2012;162.710007
29/03/2012;161.139999
30/03/2012;161.669998
02/04/2012;161.960007
03/04/2012;163.229996
04/04/2012;157.699997
05/04/2012;157.869995
09/04/2012;159.720001
10/04/2012;159.660004
11/04/2012;161.199997
12/04/2012;160.740005
13/04/2012;162.449997
16/04/2012;160.509995
17/04/2012;160.539993
18/04/2012;159.490005
19/04/2012;160
20/04/2012;159.25
23/04/2012;158.199997
24/04/2012;159.630005
25/04/2012;159.479996
26/04/2012;160.460007
27/04/2012;161.779999
30/04/2012;160.490005
01/05/2012;162.089996
02/05/2012;160.740005
03/05/2012;159.160004
04/05/2012;158.820007
07/05/2012;159.309998
08/05/2012;156.610001
09/05/2012;154.100006
10/05/2012;155.160004
11/05/2012;153.440002
14/05/2012;151.580002
15/05/2012;151.160004
16/05/2012;149.479996
17/05/2012;150.830002
18/05/2012;154.460007
21/05/2012;154.110001
22/05/2012;153.589996
23/05/2012;151.5
24/05/2012;152.710007
25/05/2012;151.889999
29/05/2012;153.470001
30/05/2012;149.740005
